,Metric,FF3,FF5
0,Static ER (%),26.428565248988754,26.271081265798212
1,Rolling ER - Mean (%),22.673021673717425,20.926045769786647
2,Rolling ER - Std (%),16.994501058312977,16.232944721265056
3,Rolling ER - Current (%),75.49988563483139,69.09263458897966
4,Beta Market - Mean,0.9551934524055594,0.9661782083331814
5,Beta Market - Current,1.3759989325061945,1.2220282382223324
6,Alpha - Mean (% daily),0.023825047560969183,0.017346799147541208
7,Alpha - Current (% daily),0.1782216483604953,0.17220979352406046
8,R² - Mean,0.3831118714156297,0.394785681405335
9,R² - Current,0.44492050284222573,0.45609699766326706
