Date,Mkt-RF,SMB,HML,RF,orcl_price,daily_orcl_returns,orcl_excess_returns
2025-07-17,0.54,0.26,-0.23,0.01,248.31907653808594,3.0874404758209684,3.0774404758209686
2025-07-18,0.02,-0.17,0.09,0.01,245.02479553222656,-1.3266322715863144,-1.3366322715863144
2025-07-21,0.2,0.0,0.32,0.01,243.11810302734375,-0.7781630837569775,-0.7881630837569775
2025-07-22,0.16,0.24,0.92,0.01,237.697509765625,-2.2296131773901995,-2.2396131773901993
2025-07-23,1.06,0.08,0.09,0.01,241.48094177246094,1.5917003129592988,1.5817003129592988
2025-07-24,0.03,-0.42,-0.38,0.01,242.40933227539062,0.3844570491216892,0.3744570491216892
2025-07-25,0.14,-0.17,-0.09,0.01,244.6953582763672,0.943043726707482,0.933043726707482
2025-07-28,-0.41,-0.18,-0.43,0.01,247.2808837890625,1.0566303876410776,1.0466303876410776
2025-07-29,-0.34,-0.37,0.34,0.01,249.54693603515625,0.9163879598662161,0.9063879598662161
2025-07-30,-0.43,-0.38,-0.47,0.01,250.16587829589844,0.2480263915782821,0.2380263915782821
